id;start_date;end_date;language
1;2020-01-18T12:10:03;2020-01-18T10:00:18;SPANISH
2;2020-01-17T17:00:14;2020-01-18T12:04:39;SPANISH
3;2020-01-18T07:55:33;2020-01-17T18:29:42;FRENCH
4;2020-01-17T23:13:04;2020-01-18T10:44:30;FRENCH
5;2020-01-18T08:43:22;2020-01-18T13:30:21;FRENCH
6;2020-01-18T02:35:43;2020-01-18T14:43:57;FRENCH
7;2020-01-18T04:21:03;2020-01-17T22:11:54;FRENCH
8;2020-01-18T03:17:16;2020-01-18T13:33:24;SPANISH
9;2020-01-18T01:58:25;2020-01-17T22:39:48;SPANISH
10;2020-01-18T10:10:29;2020-01-17T20:44:59;SPANISH
